"","baseMean","log2FoldChange","lfcSE","pvalue","padj","label"
"NPAS2",91.7738666459339,-11.504529301539,3.13336793023423,7.69132244042286e-19,4.24707113543983e-17,"NPAS2"
"TRAV12-2",75.915382679907,-11.2123995823915,3.08338883998547,4.18734316798152e-19,2.38060959810372e-17,"TRAV12-2"
"SFRP5",77.517669205686,-11.2112735760231,3.11250890481718,2.39830748202885e-17,1.13299726825959e-15,"SFRP5"
"TRBV4-2",75.4183415617661,-11.1926815570283,3.07546331579962,3.37003072747166e-19,1.95368429541626e-17,"TRBV4-2"
"TRBV6-3",67.1607880441406,-10.9928147354525,3.06468833193719,5.42902743651001e-18,2.77796298756189e-16,"TRBV6-3"
"TRBV7-2",65.7975411181725,-10.9877728004383,3.04133882127865,2.22555197176889e-19,1.31571614873388e-17,"TRBV7-2"
"NOG",62.3043733206835,-10.8764705513726,3.04975738378879,9.69833876179552e-18,4.79827029803443e-16,"NOG"
"TRAV1-2",57.854717506544,-10.7202578498694,3.06176820260642,7.74075079709159e-16,3.05657420153835e-14,"TRAV1-2"
"ADTRP",55.8183387849769,-10.6471489183083,3.06804648261643,5.22940598343376e-15,1.82706191020537e-13,"ADTRP"
"TRAV12-1",53.5791296224007,-10.6373935808582,3.00757690390702,7.63029441259017e-18,3.82941969944094e-16,"TRAV12-1"
"TRAV8-3",52.5198198110144,-10.6032023330595,3.00529535570377,9.90874387419122e-18,4.87929863056644e-16,"TRAV8-3"
"TRBV14",51.9873799334199,-10.5359373005829,3.05185013961923,6.90347910058243e-15,2.36112026957905e-13,"TRBV14"
"TRBV2",48.9517296885785,-10.4906278656475,2.99610385973911,3.72926995583885e-17,1.71153863236393e-15,"TRBV2"
"TRBV3-1",48.827278949795,-10.4777411157909,2.98645017132895,3.06463670911544e-17,1.42843467813737e-15,"TRBV3-1"
"TRAV13-1",46.2142935427059,-10.3725318164512,2.99896019764666,5.53076604499077e-16,2.20472136742032e-14,"TRAV13-1"
"CPA5",51.156109648021,-10.2816150886932,3.24164148221264,2.31327700499095e-09,3.70407506965957e-08,"CPA5"
"REG4",40.0918623408223,-10.1374546073715,2.97072662159497,2.34871410089146e-15,8.59333718591896e-14,"REG4"
"TRAV21",38.8727987870625,-10.096778300331,2.95589461954116,1.09927997960865e-15,4.24459989174349e-14,"TRAV21"
"TRAV5",39.682043276843,-10.0318816993289,3.04284456481,3.50997462720205e-12,8.37591208644065e-11,"TRAV5"
"TRBV10-3",33.8476387441351,-9.86538016861922,2.92467328733359,3.24978753115864e-15,1.17463822887889e-13,"TRBV10-3"
"TRAV29DV5",33.5759282974439,-9.85988842900134,2.91476704059283,1.07491907103392e-15,4.16590857751811e-14,"TRAV29DV5"
"TRAV17",32.8829782760378,-9.81431612698716,2.91783609346441,4.14555418173425e-15,1.48051464019342e-13,"TRAV17"
"TRBV19",144.901289311352,-9.80393003533523,1.34199523958938,6.47798417971716e-20,4.04690307203345e-18,"TRBV19"
"TRAV3",32.282986229047,-9.78036048889954,2.91782598052135,7.15680820923514e-15,2.44335533773039e-13,"TRAV3"
"TRAV1-1",30.3412303690693,-9.64767438109858,2.90386243191617,3.99030499911738e-14,1.2335170313372e-12,"TRAV1-1"
"TRBV6-4",30.5418242766272,-9.646171564602,2.94112209297267,4.62679858274908e-13,1.25426995776908e-11,"TRBV6-4"
"TRBV27",115.147873788591,-9.46876567493586,1.32923692573052,4.92070369985033e-19,2.76087096596428e-17,"TRBV27"
"CD8B",3151.44508434558,-9.3462133199922,0.290699830662578,1.07857617458979e-228,2.25724421818151e-224,"CD8B"
"TRAV8-2",24.7428917797404,-9.33056477556304,2.86232825220263,1.03524628132401e-13,3.06011782140521e-12,"TRAV8-2"
"TRBV7-9",184.023190008677,-9.32574208397416,0.981280082315986,2.252000801635e-22,1.77848576515537e-20,"TRBV7-9"
"TRAV8-1",24.2152101419124,-9.24906450347833,2.8971394641532,4.52895869517218e-12,1.06977480330207e-10,"TRAV8-1"
"LINC01550",174.896135132276,-9.24049927628173,1.00355359689568,3.32241590438544e-21,2.34112862111039e-19,"LINC01550"
"TRAV2",22.8190854847505,-9.19817162175547,2.84129807396874,1.42907012444303e-13,4.14232403938279e-12,"TRAV2"
"TRBV5-1",95.0817004648707,-9.16943766629015,1.34227090989854,1.66927123349427e-17,7.95774678236173e-16,"TRBV5-1"
"LOC112268261",233.23313314186,-9.11425774453899,0.922927660437918,3.06765684801984e-23,2.64197211997363e-21,"LOC112268261"
"LOC112268199",92.4369825128589,-9.08746838559664,1.34806485108467,3.80222944140322e-17,1.74120476476338e-15,"LOC112268199"
"TRAV35",20.7226639251353,-8.96389263914542,2.88114218930029,5.20377108744386e-11,1.06079156645913e-09,"TRAV35"
"TRBV24-1",19.6253885507746,-8.84508794906995,2.89135755049133,3.06115483623169e-10,5.61963582567164e-09,"TRBV24-1"
"LOC105372185",18.6644249650907,-8.76166411741764,2.87359176553607,3.0589876417742e-10,5.61963582567164e-09,"LOC105372185"
"TRBV4-1",71.2589285439518,-8.73569487197122,1.32970097721239,2.54022651249917e-16,1.06750723802375e-14,"TRBV4-1"
"TRBV9",70.9198796945783,-8.72838417943914,1.30904751403549,5.93657214820728e-17,2.63221571859496e-15,"TRBV9"
"LOC101929216",17.3022070384238,-8.71616851412304,2.79079669580132,3.86928226001292e-12,9.22281766942488e-11,"LOC101929216"
"TRAV41",17.4868132989002,-8.68543624183169,2.83718843536426,1.08983583035699e-10,2.13159665959916e-09,"TRAV41"
"TRAV9-2",16.8795009095004,-8.66117243471775,2.79522212241066,1.10270460487163e-11,2.49485426710848e-10,"TRAV9-2"
"TRAV20",15.873875357509,-8.55955613357336,2.77941190984664,1.51161092047128e-11,3.35827954815531e-10,"TRAV20"
"LOC107984706",15.9125893364845,-8.53198149215501,2.79913893124427,7.13965939056743e-11,1.43121448013214e-09,"LOC107984706"
"CA6",109.071125945459,-8.53063208713581,1.01803436171452,6.14101899901811e-18,3.1118461407131e-16,"CA6"
"CACHD1",61.1118111311241,-8.47442201364378,1.37195117539043,2.1131667773854e-14,6.7590668949277e-13,"CACHD1"
"PTPRK-AS1",14.8571537878231,-8.42616134140916,2.78320716202026,1.00674399637507e-10,1.97646701277087e-09,"PTPRK-AS1"
"TRAV26-2",15.1129320230732,-8.4255051053485,2.79589629800045,1.90925564497975e-10,3.61928461396161e-09,"TRAV26-2"
