,,Observation,,,,,,Treatment Period 1 (weeks),,,,,,,Follow Up,Early Termination
,,,,,,,,,,,,,,,,
,Visit:,0,1,2,3,4,5,6,7,8,9,10,11,12,9,No
,Week:,-4,0,4,8,12,16,20,24,28,32,36,40,44,48,date
,Day,-28,0,28,56,84,112,140,168,196,224,252,280,308,286,
Assessments,,,,,,,,,,,,,,,,
Administrative, , , , , , , , , , , , , , , , 
Informed Consent / Assent,,X,,,,,,,,,,,,,,
Inclusion / Exclusion Criteria,,X,,,,,,,,,,,,,,
Dispense (return) diaries,,X,,,,,,,,,,,,,(X),(X)
Diary Completion (Assessment),,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Email / Telephone Monitoring,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
Drug Administration,,,X,X,X,X,X,X,X,X,X,X,X,X,,
Drug Administration Log,,,X,X,X,X,X,X,X,X,X,X,X,X,X,
Safety, , , , , , , , , , , , , , , , 
Medical History,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Concomitant Therapies,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Adverse Events,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Vital Signs,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Physical Examination,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Clinical Laboratory Tests,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Spiromentry: Pre-Study Drug,,X,X, ,X,X, ,X,X, ,X,X, ,X,X,X
Spiromentry: Post-Study Drug,,,X,,,,,,,,,,,,,
Chest X-Ray,, ,X, , , ,X, , , ,X, , , ,X,X
Efficacy, , , , , , , , , , , , , , , , 
Lung Volumes: Pre-Study Drug,,X,X, ,X,X, ,X,X, ,X,X, ,X,X,X
Limited Chest HRCT,, ,X, , , , , , ,X, , , , , ,
Serum Biomarkers,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Excercise oximetry (home),,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Excercise oximetry (clinic),,X,X, ,X,X, ,X,X, ,X,X, ,X,X,X
Leukocyte Biomarkers,, ,X, , ,X, , ,X, , ,X, , ,X,X
Serum Biomarkers,, ,X, , ,X, , ,X, , ,X, , ,X,X
WHOQOL,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Dyspnea & Fatigue Score,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
