HPV strain,vTR,Cell Type,ATAC-seq Peak Count,ChIP-seq Peak Count,Number of DEGs (RNA-seq)
HPV11,E2,Flp-In-293,49398.0,,1646.0
HPV11,E6,Flp-In-293,69553.0,,3304.0
HPV11,E7,Flp-In-293,72116.0,,5550.0
HPV16,E2,Flp-In-293,77545.0,14394.0,2541.0
HPV16,E6,Flp-In-293,64151.0,14877.0,5186.0
HPV16,E7,Flp-In-293,91361.0,9084.0,3171.0
HPV18,E2,Flp-In-293,78573.0,5192.0,1249.0
HPV18,E6,Flp-In-293,64797.0,1163.0,5785.0
HPV18,E7,Flp-In-293,73554.0,7149.0,2382.0
HPV6a,E2,Flp-In-293,53862.0,1747.0,3961.0
HPV6a,E6,Flp-In-293,56224.0,865.0,5971.0
HPV6a,E7,Flp-In-293,65651.0,3983.0,2151.0
control,monoGFP,Flp-In-293,83203.0,454.0,N/A
HPV11,E2,Flp-In-TREx-HCT116,65826.0,3847.0,2649.0
HPV11,E6,Flp-In-TREx-HCT116,46846.0,1309.0,3802.0
HPV11,E7,Flp-In-TREx-HCT116,63736.0,7266.0,3346.0
HPV16,E2,Flp-In-TREx-HCT116,86849.0,22058.0,1008.0
HPV16,E6,Flp-In-TREx-HCT116,98331.0,4620.0,345.0
HPV16,E7,Flp-In-TREx-HCT116,96017.0,9383.0,969.0
HPV18,E2,Flp-In-TREx-HCT116,77433.0,12297.0,929.0
HPV18,E6,Flp-In-TREx-HCT116,71571.0,5781.0,2297.0
HPV18,E7,Flp-In-TREx-HCT116,86975.0,6517.0,1248.0
HPV6a,E2,Flp-In-TREx-HCT116,93496.0,476.0,1446.0
HPV6a,E6,Flp-In-TREx-HCT116,93639.0,1028.0,2347.0
HPV6a,E7,Flp-In-TREx-HCT116,95468.0,4510.0,971.0
control,monoGFP,Flp-In-TREx-HCT116,88165.0,527.0,N/A
