Gene	Cytoband	(A) Negative	(B) Positive	(A) Negative	(B) Positive	Log2 Ratio	p-Value	q-Value	Higher expression in
ARMT1	6q25.1	-0.86	1.20	0.77	1.27	-2.07	1.28e-64	2.21e-60	(B) Positive
ESR1	6q25.1-q25.2	-1.74	3.47	1.89	1.68	-5.20	3.48e-64	2.99e-60	(B) Positive
SLC39A6	18q12.2	-1.31	1.25	0.99	1.60	-2.56	4.14e-62	2.37e-58	(B) Positive
CCDC170	6q25.1	-1.76	1.18	1.18	1.28	-2.94	1.08e-59	4.66e-56	(B) Positive
NAT1	8p22	0.21	3.73	1.43	1.95	-3.52	1.57e-59	5.41e-56	(B) Positive
AGR3	7p21.1	-2.07	4.34	2.66	2.15	-6.41	1.68e-55	4.83e-52	(B) Positive
RGS22	8q22.2	-2.81	-0.32	1.02	1.93	-2.50	6.23e-55	1.53e-51	(B) Positive
PCP2	19p13.2	-0.16	1.22	0.62	0.81	-1.38	1.83e-52	3.94e-49	(B) Positive
FSIP1	15q14	0.01	3.92	1.76	1.89	-3.91	2.92e-52	5.59e-49	(B) Positive
EVL	14q32.2	-0.42	1.16	0.71	0.81	-1.58	3.35e-52	5.76e-49	(B) Positive
SCUBE2	11p15.4	-0.92	2.58	1.59	1.83	-3.50	5.74e-52	8.96e-49	(B) Positive
TCEAL1	Xq22.2	-0.21	1.32	0.68	1.11	-1.53	8.63e-52	1.24e-48	(B) Positive
PLCD4	2q35	-1.08	0.85	0.87	1.29	-1.93	1.59e-51	2.10e-48	(B) Positive
GFRA1	10q25.3	-2.63	1.02	1.68	2.07	-3.65	3.16e-51	3.87e-48	(B) Positive
TBC1D9	4q31.21	0.05	3.26	1.47	1.47	-3.21	3.63e-51	4.16e-48	(B) Positive
CST9	20p11.21	-0.32	1.57	0.75	1.73	-1.89	6.97e-51	7.49e-48	(B) Positive
TFF1	21q22.3	-4.04	-1.60	1.03	2.06	-2.44	8.66e-51	8.76e-48	(B) Positive
SLC7A2	8p22	-2.47	-0.26	1.01	1.63	-2.20	1.46e-49	1.39e-46	(B) Positive
SERPINA11	14q32.13	-2.91	-0.78	0.96	1.67	-2.14	1.92e-49	1.74e-46	(B) Positive
PLAAT1	3q29	2.09	-0.40	1.13	1.95	2.49	6.00e-49	5.16e-46	(A) Negative
THSD4	15q23	-0.67	1.83	1.22	1.11	-2.50	5.16e-47	4.23e-44	(B) Positive
TMPRSS6	22q12.3	-0.45	0.67	0.53	0.93	-1.12	3.43e-46	2.64e-43	(B) Positive
ABAT	16p13.2	-1.25	0.76	1.00	1.23	-2.00	3.56e-46	2.64e-43	(B) Positive
STC2	5q35.2	-2.13	0.14	1.04	1.97	-2.27	3.68e-46	2.64e-43	(B) Positive
PARD6B	20q13.13	-2.51	-0.74	0.86	1.36	-1.77	3.94e-46	2.71e-43	(B) Positive
AFF3	2q11.2	-0.04	1.58	0.81	1.07	-1.62	4.46e-46	2.95e-43	(B) Positive
IL6ST	5q11.2	-0.56	1.38	0.97	1.19	-1.93	7.34e-46	4.67e-43	(B) Positive
KCTD6	3p14.3	-0.21	1.17	0.68	0.94	-1.38	7.60e-46	4.67e-43	(B) Positive
SRARP	1p36.13	-1.82	2.34	2.10	2.02	-4.17	1.12e-45	6.63e-43	(B) Positive
GRPR	Xp22.2	-0.01	2.26	1.08	1.93	-2.27	2.05e-45	1.18e-42	(B) Positive
KDM4B	19p13.3	-0.22	1.07	0.67	0.72	-1.30	8.79e-45	4.77e-42	(B) Positive
DACH1	13q21.33	1.88	5.27	1.74	1.78	-3.39	8.88e-45	4.77e-42	(B) Positive
NR2E3	15q23	-1.07	0.18	0.64	0.89	-1.25	1.77e-44	9.05e-42	(B) Positive
TRH	3q22.1	-0.33	1.71	0.82	2.15	-2.04	1.79e-44	9.05e-42	(B) Positive
SPINK4	9p13.3	-1.98	-0.05	0.89	1.82	-1.93	4.19e-44	2.06e-41	(B) Positive
ARSG	17q24.2	-0.91	0.60	0.79	0.88	-1.51	7.70e-44	3.68e-41	(B) Positive
IL20	1q32.1	-0.62	1.49	1.03	1.83	-2.11	1.09e-43	5.06e-41	(B) Positive
CA12	15q22.2	-0.82	2.59	1.76	1.17	-3.41	1.48e-43	6.71e-41	(B) Positive
ACADSB	10q26.13	-0.42	1.47	0.99	1.01	-1.88	2.04e-43	9.00e-41	(B) Positive
FAM234B	12p13.1	-0.47	1.43	1.00	1.23	-1.90	3.98e-43	1.71e-40	(B) Positive
CST9L	20p11.21	-0.82	1.67	1.09	2.56	-2.49	5.42e-43	2.27e-40	(B) Positive
DNAJC12	10q21.3	-1.77	1.34	1.65	1.88	-3.10	6.59e-43	2.70e-40	(B) Positive
ABCC8	11p15.1	-0.10	2.94	1.62	1.55	-3.03	1.39e-42	5.56e-40	(B) Positive
BCL11A	2p16.1	1.11	-1.88	1.60	1.55	2.99	1.47e-42	5.75e-40	(A) Negative
ANXA9	1q21.3	-1.30	1.71	1.62	1.34	-3.01	4.33e-42	1.65e-39	(B) Positive
KRT37	17q21.2	-1.60	0.71	1.22	1.74	-2.31	8.66e-42	3.23e-39	(B) Positive
CCDC74B	2q21.1	-0.88	1.10	1.06	1.34	-1.98	8.84e-42	3.23e-39	(B) Positive
TCEAL4	Xq22.2	0.17	1.34	0.59	1.04	-1.17	9.02e-42	3.23e-39	(B) Positive
GREB1	2p25.1	-3.13	-1.19	1.05	1.20	-1.94	1.23e-41	4.31e-39	(B) Positive
DSC2	18q12.1	3.56	1.61	1.06	1.13	1.95	1.86e-41	6.41e-39	(A) Negative
WWP1	8q21.3	0.48	1.95	0.81	0.92	-1.47	7.23e-41	2.44e-38	(B) Positive
SLC16A6	17q24.2	-1.66	0.52	1.19	1.59	-2.18	1.50e-40	4.95e-38	(B) Positive
MAGED2	Xp11.21	0.71	2.33	0.90	1.01	-1.62	1.70e-40	5.51e-38	(B) Positive
SYT9	11p15.4	0.51	1.58	0.58	0.84	-1.07	2.05e-40	6.52e-38	(B) Positive
XBP1	22q12.1	-0.03	2.35	1.33	1.09	-2.38	2.12e-40	6.61e-38	(B) Positive
KCNJ3	2q24.1	-0.66	2.23	1.43	2.82	-2.89	2.54e-40	7.81e-38	(B) Positive
CLSTN2	3q23	-0.20	2.72	1.64	1.54	-2.93	3.08e-40	9.28e-38	(B) Positive
MAPT	17q21.31	-0.08	1.43	0.84	0.93	-1.51	3.13e-40	9.28e-38	(B) Positive
CACNA2D2	3p21.31	-0.32	0.90	0.68	0.84	-1.22	6.42e-40	1.87e-37	(B) Positive
WNK4	17q21.2	-1.97	-0.09	1.03	1.49	-1.88	8.30e-40	2.38e-37	(B) Positive
